ALU, 8, Max, 0.65, 2.05e-02, 515.202, 134.219797, 11.225359, 134.219797
ALU, 2, Max, 0.15, 2.21e-03, 44.508, 17.833400, 1.514925, 17.833400
ALU, 2, Identity, Add, Max, Accumulate, 0.35, 1.78e-02, 417.744, 95.737199, 6.876523, 95.737199
ALU, 8, Add, Max, Accumulate, 1.02, 6.65e-02, 1.54e+03, 364.646096, 26.795611, 364.646096
ALU, 2, Max, Accumulate, 0.22, 7.73e-03, 229.769, 51.153699, 3.472515, 51.153699
ALU, 2, Add, Max, 0.20, 7.28e-03, 206.221, 46.929999, 3.721658, 46.929999
ALU, 16, Identity, Add, 1.33, 6.57e-02, 1.17e+03, 268.439602, 16.832863, 268.439602
ALU, 4, Identity, Add, 0.42, 1.48e-02, 304.194, 76.495900, 5.254650, 76.495900
ALU, 16, Accumulate, 1.32, 4.88e-02, 913.598, 191.474403, 10.712602, 191.474403
ALU, 16, Max, 1.21, 4.54e-02, 1.16e+03, 292.373894, 24.697702, 292.373894
ALU, 4, Identity, Add, Max, Accumulate, 0.67, 4.24e-02, 965.571, 232.303496, 17.338731, 232.303496
ALU, 8, Identity, 0.06, 1.92e-03, 124.847, 18.771999, 2.277392, 18.771999
ALU, 16, Identity, Add, Max, 1.40, 0.107, 2.44e+03, 567.852996, 42.058860, 567.852996
ALU, 2, Identity, Add, Max, 0.22, 9.69e-03, 245.069, 60.539699, 4.765122, 60.539699
ALU, 8, Max, Accumulate, 0.66, 4.77e-02, 908.126, 227.610498, 16.296472, 227.610498
ALU, 2, Identity, 0.05, 4.65e-04, 31.212, 4.693000, 0.491553, 4.693000
ALU, 4, Identity, Add, Max, 0.54, 2.51e-02, 657.377, 156.746197, 11.701013, 156.746197
ALU, 16, Add, Max, 1.38, 0.102, 1.86e+03, 464.606998, 33.353980, 464.606998
ALU, 16, Max, Accumulate, 1.32, 0.102, 1.91e+03, 470.707897, 32.946730, 470.707897
ALU, 2, Add, 0.18, 3.72e-03, 104.412, 24.403599, 1.820583, 24.403599
ALU, 16, Add, 1.32, 4.88e-02, 913.598, 191.474403, 10.712602, 191.474403
ALU, 16, Identity, 0.10, 4.04e-03, 249.694, 37.543999, 4.855680, 37.543999
ALU, 2, Accumulate, 0.18, 3.72e-03, 104.412, 24.403599, 1.820583, 24.403599
ALU, 2, Add, Max, Accumulate, 0.27, 1.21e-02, 384.939, 93.859998, 7.041268, 93.859998
ALU, 8, Add, 0.67, 2.27e-02, 475.068, 101.368800, 6.248633, 101.368800
ALU, 8, Identity, Add, Max, Accumulate, 1.09, 7.45e-02, 1.85e+03, 416.269094, 31.328848, 416.269094
ALU, 4, Add, 0.34, 1.02e-02, 255.803, 56.315999, 4.071866, 56.315999
ALU, 8, Identity, Add, Max, 0.86, 5.44e-02, 1.29e+03, 295.658997, 21.883578, 295.658997
ALU, 4, Accumulate, 0.34, 1.02e-02, 255.803, 56.315999, 4.071866, 56.315999
ALU, 4, Add, Max, Accumulate, 0.56, 3.77e-02, 833.007, 195.228798, 14.010981, 195.228798
ALU, 8, Accumulate, 0.67, 2.27e-02, 475.068, 101.368800, 6.248633, 101.368800
ALU, 4, Add, Max, 0.52, 2.27e-02, 500.196, 127.180298, 9.911120, 127.180298
ALU, 2, Identity, Add, 0.21, 4.91e-03, 125.730, 33.789600, 2.257029, 33.789600
ALU, 4, Identity, 0.05, 9.38e-04, 62.424, 9.386000, 1.043465, 9.386000
ALU, 4, Max, 0.38, 8.68e-03, 217.889, 58.662499, 4.813056, 58.662499
ALU, 8, Add, Max, 0.75, 4.93e-02, 951.922, 242.628098, 18.068293, 242.628098
ALU, 4, Max, Accumulate, 0.46, 2.19e-02, 444.557, 114.039899, 8.456144, 114.039899
ALU, 16, Add, Max, Accumulate, 1.94, 0.141, 3.06e+03, 732.107992, 56.601922, 732.107992
ALU, 16, Identity, Add, Max, Accumulate, 2.02, 0.156, 3.70e+03, 820.336389, 65.658518, 820.336389
ALU, 8, Identity, Add, 0.68, 3.18e-02, 625.359, 140.790000, 9.063563, 140.790000
