RF, 2, 2, 4, 4, 4, 2, None, 1.16, 0.312, 1.93e+04, 4159.405817, 377.142789, 4414.705012
RF, 4, 4, 4, 4, 2, 16, Soft, 0.79, 1.048, 5.86e+04, 11781.776251, 1188.098969, 13313.571417
RF, 4, 4, 2, 2, 2, 8, None, 0.35, 0.679, 2.13e+04, 4845.053100, 462.780746, 5100.352295
RF, 1, 1, 4, 4, 4, 2, None, 1.16, 0.172, 1.21e+04, 2365.741258, 215.260871, 2621.040453
RF, 2, 2, 1, 1, 2, 8, None, 0.35, 0.153, 6.69e+03, 1280.719674, 124.919755, 1536.018868
RF, 1, 1, 2, 2, 2, 16, Soft, 0.60, 0.194, 1.57e+04, 2372.780749, 253.690849, 3138.678332
RF, 2, 2, 2, 2, 0, 8, Soft, 0.28, 9.74e-02, 5.36e+03, 771.059884, 81.463772, 1090.183877
RF, 2, 2, 1, 1, 0, 8, Firm, 0.14, 2.51e-02, 1.65e+03, 163.785696, 18.564814, 291.435294
RF, 1, 1, 4, 4, 0, 4, Soft, 0.29, 3.72e-02, 2.48e+03, 439.734091, 40.412172, 535.471289
RF, 1, 1, 4, 4, 0, 16, Firm, 0.15, 5.75e-02, 4.73e+03, 539.225685, 72.286126, 794.524880
RF, 4, 4, 4, 4, 0, 2, Firm, 0.35, 4.89e-02, 2.92e+03, 503.089590, 44.765751, 630.739187
RF, 4, 4, 2, 2, 6, 4, Soft, 1.65, 2.749, 2.02e+05, 45062.185006, 4434.092471, 47232.228158
RF, 4, 4, 2, 2, 4, 2, Soft, 1.14, 0.661, 3.53e+04, 7659.445127, 679.667967, 7978.569119
RF, 1, 1, 1, 1, 2, 8, None, 0.36, 6.98e-02, 4.55e+03, 700.664886, 71.623317, 955.964080
RF, 2, 2, 1, 1, 0, 2, Firm, 0.14, 7.41e-03, 454.025, 49.745799, 4.715307, 81.658198
RF, 4, 4, 2, 2, 0, 2, None, 0.15, 1.65e-02, 783.263, 149.706696, 12.334262, 165.662896
RF, 4, 4, 4, 4, 0, 4, Soft, 0.36, 0.113, 7.71e+03, 1308.408370, 120.096168, 1595.619963
RF, 1, 1, 4, 4, 6, 16, None, 2.03, 1.722, 2.43e+05, 46761.989666, 5315.192269, 54931.563885
RF, 4, 4, 2, 2, 4, 16, Soft, 0.90, 1.955, 1.46e+05, 31072.352346, 3264.406274, 33625.344289
RF, 4, 4, 4, 4, 0, 4, Firm, 0.29, 8.65e-02, 5.77e+03, 898.709481, 83.949705, 1154.008676
RF, 4, 4, 1, 1, 6, 2, None, 4.11, 1.752, 1.25e+05, 27816.818253, 2632.847441, 28838.015030
RF, 1, 1, 1, 1, 2, 2, None, 0.31, 3.25e-02, 1.60e+03, 274.071195, 23.749395, 337.895993
RF, 4, 4, 4, 4, 6, 2, None, 3.23, 2.107, 1.48e+05, 32657.647660, 3088.042141, 33678.844438
RF, 4, 4, 1, 1, 0, 2, Firm, 0.14, 7.41e-03, 454.025, 49.745799, 4.715307, 81.658198
RF, 4, 4, 1, 1, 0, 8, Firm, 0.14, 2.51e-02, 1.65e+03, 163.785696, 18.564814, 291.435294
RF, 2, 2, 2, 2, 2, 2, None, 0.33, 7.47e-02, 3.46e+03, 710.050883, 58.365175, 773.875682
RF, 4, 4, 4, 4, 2, 2, None, 0.42, 0.313, 1.07e+04, 2432.851147, 204.401048, 2496.675945
RF, 1, 1, 2, 2, 4, 8, None, 0.76, 0.243, 2.40e+04, 4113.883716, 420.207364, 5135.080493
RF, 1, 1, 2, 2, 0, 4, Soft, 0.24, 3.02e-02, 1.78e+03, 265.154494, 24.355757, 360.891692
RF, 1, 1, 4, 4, 2, 16, None, 0.47, 0.196, 1.56e+04, 2827.063144, 305.120564, 3337.661533
RF, 2, 2, 4, 4, 0, 8, Soft, 0.35, 0.118, 6.59e+03, 1116.464678, 120.317944, 1435.588671
RF, 2, 2, 2, 2, 6, 2, Soft, 4.23, 0.935, 6.63e+04, 13124.443529, 1266.979531, 14209.465105
RF, 2, 2, 1, 1, 4, 8, None, 0.70, 0.463, 2.75e+04, 5524.130186, 587.676171, 6545.326964
RF, 2, 2, 4, 4, 4, 16, None, 0.85, 0.765, 7.93e+04, 15095.972771, 1600.563329, 17138.366326
RF, 2, 2, 4, 4, 0, 16, Soft, 0.48, 0.227, 1.25e+04, 2077.121760, 241.423134, 2715.369746
RF, 2, 2, 1, 1, 2, 4, None, 0.30, 0.103, 4.84e+03, 928.744679, 80.168172, 1056.394276
RF, 1, 1, 1, 1, 6, 2, None, 4.10, 0.376, 2.54e+04, 4431.130522, 455.045250, 5452.327299
RF, 4, 4, 2, 2, 0, 8, Firm, 0.23, 6.48e-02, 3.83e+03, 500.743091, 52.878404, 756.042285
RF, 1, 1, 4, 4, 2, 4, Soft, 0.42, 7.76e-02, 6.81e+03, 1259.131870, 112.334651, 1450.606266
RF, 2, 2, 1, 1, 4, 4, Soft, 0.68, 0.333, 1.88e+04, 3803.676418, 370.889496, 4378.099605
RF, 4, 4, 1, 1, 4, 2, None, 1.07, 0.566, 2.96e+04, 6602.112248, 574.908642, 6857.411442
RF, 1, 1, 2, 2, 0, 4, Firm, 0.14, 1.40e-02, 979.907, 107.469697, 11.417180, 171.294496
RF, 1, 1, 2, 2, 4, 16, Soft, 0.77, 0.461, 4.62e+04, 7532.264852, 857.895765, 9829.957601
RF, 2, 2, 2, 2, 6, 8, Soft, 1.69, 1.725, 1.41e+05, 28392.649393, 2985.649206, 32732.735697
RF, 2, 2, 1, 1, 0, 2, Soft, 0.21, 1.50e-02, 790.512, 120.610097, 11.134342, 168.478696
RF, 2, 2, 2, 2, 6, 4, Soft, 1.82, 1.069, 8.38e+04, 17668.206015, 1774.310856, 19838.249167
RF, 1, 1, 4, 4, 4, 16, None, 0.80, 0.550, 6.43e+04, 11986.391054, 1313.363298, 14028.784608
RF, 2, 2, 1, 1, 4, 4, None, 0.63, 0.313, 1.76e+04, 3687.290020, 357.213389, 4197.888409
RF, 1, 1, 1, 1, 0, 16, None, 0.14, 3.68e-02, 1.98e+03, 249.198294, 29.860614, 376.847891
RF, 4, 4, 2, 2, 2, 16, None, 0.47, 0.757, 3.35e+04, 7349.707148, 729.456982, 7860.305537
RF, 1, 1, 4, 4, 4, 8, Soft, 0.72, 0.387, 3.59e+04, 6921.236257, 711.310639, 8070.082631
RF, 2, 2, 2, 2, 2, 4, Soft, 0.45, 0.143, 7.71e+03, 1392.413069, 124.394502, 1647.712264
RF, 4, 4, 4, 4, 0, 8, Soft, 0.43, 0.200, 1.47e+04, 2364.802647, 227.162876, 2939.225834
